host,Strict-Transport-Security,Content-Security-Policy,X-Content-Type-Options,Access-Control-Allow-Origin
example.com,FAIL,FAIL,FAIL,FAIL
github.com,OK,OK,OK,FAIL
openai.com,OK,FAIL,OK,FAIL
